2023-06-14		09:50:26	0a701f81-1284-45cd-ab23-2543913506cf	 GET	http://localhost:5173	/auth/refresh 
2023-06-14		09:51:39	5496a509-5fb3-4b93-a273-265ecd724661	 POST	http://localhost:5173	/auth 
2023-06-14		09:51:40	53c47891-4968-470e-b32d-8629afa54267	 GET	http://localhost:5173	/notes 
2023-06-14		09:51:40	65170461-c66f-4e93-8da7-da17d784abb5	 GET	http://localhost:5173	/users 
2023-06-14		09:51:43	d8a2ca5f-aad9-4e4d-bbdc-a1952d25e8d5	 GET	http://localhost:5173	/auth/refresh 
2023-06-14		09:52:56	936b838a-7dda-43b4-b987-5da65194437f	 POST	http://localhost:5173	/auth 
2023-06-14		09:52:57	1fcdfd1e-3f32-4efe-b939-335650a1ed2d	 GET	http://localhost:5173	/notes 
2023-06-14		09:52:57	39b29071-7b41-4027-b3d9-9c4acce9bf1a	 GET	http://localhost:5173	/users 
2023-06-14		10:02:20	bdc78eb5-b6fd-4b98-9fc4-16dc5c68e66a	 GET	http://localhost:5173	/auth/refresh 
2023-06-14		10:02:27	666e8fa8-ab3a-4346-a46e-1d808a489ce4	 POST	http://localhost:5173	/auth 
2023-06-14		10:02:27	49d34e41-c8d2-4bfe-ad9c-123c89a4abd7	 GET	http://localhost:5173	/notes 
2023-06-14		10:02:27	6ce9164f-cd9c-4aff-b8e7-01a58c4d3395	 GET	http://localhost:5173	/users 
2023-06-14		10:03:35	79825ffc-156e-4d3a-b329-c3b592825040	 POST	http://localhost:5173	/auth 
2023-06-14		10:05:56	ee282b38-cbf8-4f6b-b2a9-0c3fa35d6350	 GET	http://localhost:5173	/auth/refresh 
2023-06-14		10:06:13	0923c54c-0222-4cfa-bcf6-4642ccfca938	 POST	http://localhost:5173	/auth 
2023-06-14		10:06:13	7a139294-5f16-4cc9-b246-4b5339e2c097	 GET	http://localhost:5173	/notes 
2023-06-14		10:06:13	ca44624f-92f2-4fc0-a825-e9e33bc3f61e	 GET	http://localhost:5173	/users 
2023-06-14		10:27:54	f6f73125-e250-47cf-bf7a-9b7224561e3c	 POST	http://localhost:5173	/auth/logout 
2023-06-14		10:27:59	02157a92-ebb1-4e82-b75e-7a6b6388487e	 POST	http://localhost:5173	/auth 
2023-06-14		10:28:01	dba78039-09cf-42cd-baa6-e5e66efa345b	 GET	http://localhost:5173	/notes 
2023-06-14		10:28:01	6d79b636-1c76-4d91-be00-e07b1af9b4a0	 GET	http://localhost:5173	/users 
2023-06-14		10:28:03	88e94f47-7b01-4957-a404-487cc9365af5	 GET	http://localhost:5173	/notes 
2023-06-14		10:28:07	b4310779-91e6-4294-a833-cad42b4922f6	 GET	http://localhost:5173	/notes 
2023-06-14		10:28:23	45603424-09c2-4dfa-a35c-f7d116c2ad6d	 GET	http://localhost:5173	/notes 
2023-06-14		10:28:31	c89f6d3c-f3ac-4638-b0cb-18bc2ff60750	 GET	http://localhost:5173	/notes 
2023-06-14		10:28:34	152447e1-1116-4004-94f2-73b0cb769b86	 GET	http://localhost:5173	/notes 
2023-06-14		10:30:09	9bd64061-08fe-4a63-96c9-e2d96ac11212	 GET	http://localhost:5173	/notes 
2023-06-14		10:30:26	106b052d-8d89-4e6a-9f82-238ef404e8a7	 GET	http://localhost:5173	/notes 
2023-06-14		10:30:35	4d425cc6-23cb-41e8-ac9b-907211e81cd8	 GET	http://localhost:5173	/notes 
2023-06-14		10:30:51	a9eca6f9-8956-4093-9f2a-2c212e90fa86	 GET	http://localhost:5173	/notes 
2023-06-14		10:30:56	350ae4d9-a695-4bca-bef7-c2a6d765bd31	 GET	http://localhost:5173	/notes 
2023-06-14		10:30:59	62e9e079-8bf1-4466-af9f-efaec80bff88	 GET	http://localhost:5173	/notes 
2023-06-14		10:31:02	6f1062c1-25d9-4a8c-9ec1-d888f6e9f6f4	 GET	http://localhost:5173	/notes 
2023-06-14		10:31:08	5a9f06ef-7fb4-44ea-be27-03d292205311	 POST	http://localhost:5173	/auth/logout 
2023-06-14		10:31:12	dd233ea5-2d9b-4c0a-b4e7-8acc82768f0f	 POST	http://localhost:5173	/auth 
2023-06-14		10:31:13	d6afe257-d6e8-43d1-bd58-90db711684a2	 GET	http://localhost:5173	/notes 
2023-06-14		10:31:13	5c74d38a-0629-4e69-b806-13955f18c8a1	 GET	http://localhost:5173	/users 
2023-06-14		10:31:58	99b9c973-6195-4f3c-a7df-086a75386f01	 GET	http://localhost:5173	/notes 
2023-06-14		10:32:15	00015ba8-5a55-4652-90a0-cfdb16677c6f	 GET	http://localhost:5173	/notes 
2023-06-14		10:32:30	dad8c0a4-ab1e-46a4-b4c6-377fd9798e58	 GET	http://localhost:5173	/notes 
2023-06-14		10:32:46	1b829ca8-c050-4ba3-add5-ca9e539634d8	 GET	http://localhost:5173	/notes 
2023-06-14		10:33:01	40db6f4b-5055-4f7c-acfe-792366b90c64	 GET	http://localhost:5173	/notes 
2023-06-14		10:33:17	19e86d79-0144-4d4c-959c-d9a889380986	 GET	http://localhost:5173	/notes 
2023-06-14		10:33:33	0877b488-cb7a-4ec9-a446-d1f595338638	 GET	http://localhost:5173	/notes 
2023-06-14		10:33:58	a91ef7d3-6a8f-4f8c-95a5-8404ce0eb617	 POST	http://localhost:5173	/auth 
2023-06-14		10:34:08	3d3b2c64-694b-4d32-b468-b169ec7efc57	 POST	http://localhost:5173	/auth 
2023-06-14		10:35:28	80a3a7a2-c32b-4ad3-82aa-d0a75a68a790	 POST	http://localhost:5173	/auth 
2023-06-14		10:35:29	e9d82826-7e3f-4b21-a531-230565816cef	 GET	http://localhost:5173	/notes 
2023-06-14		10:35:29	d32d8464-5142-4cf7-8bd7-48f58214456a	 GET	http://localhost:5173	/users 
2023-06-14		10:35:34	01600c62-d5b7-48fc-9cdf-17e766fda1d1	 GET	http://localhost:5173	/notes 
2023-06-14		10:35:56	3d649f68-e016-4d1a-80e4-aa212230cbc6	 POST	http://localhost:5173	/auth 
2023-06-14		10:35:56	a4cc95f5-335e-4a19-bd31-62644adbbadb	 GET	http://localhost:5173	/notes 
2023-06-14		10:36:13	350e40a4-ec66-4330-9eeb-d5c837a4b25b	 GET	http://localhost:5173	/notes 
2023-06-14		10:36:28	ce82daa1-0964-442d-9261-89c9375b8615	 GET	http://localhost:5173	/notes 
2023-06-14		10:36:32	cc6353e4-ac86-47bd-8635-cfedbbf1621e	 GET	http://localhost:5173	/users 
2023-06-14		10:37:32	0880738c-2c95-4afc-85bf-c295ca5eb0f3	 GET	http://localhost:5173	/users 
2023-06-14		10:37:58	3f52b63b-a848-4453-b1d9-7b6b2a994a9d	 GET	http://localhost:5173	/notes 
2023-06-14		10:38:25	98272532-3ee3-4ba7-bee0-7d8864690212	 POST	http://localhost:5173	/auth/logout 
2023-06-14		10:38:36	a6633367-ccf7-4ca6-a849-dd0b9f7f9b31	 POST	http://localhost:5173	/auth 
2023-06-14		10:38:37	297944b7-8a36-4781-b7dd-bc995d8573bc	 GET	http://localhost:5173	/notes 
2023-06-14		10:38:37	2a8fbcc8-fbdc-4ae6-8597-ce68d8ce6e52	 GET	http://localhost:5173	/users 
2023-06-14		10:39:11	f9c4bd25-77aa-41fe-93e2-1289febcdc32	 POST	http://localhost:5173	/auth/logout 
2023-06-14		10:39:18	4dd15711-d6e1-4949-87a7-042cd8bff491	 POST	http://localhost:5173	/auth 
2023-06-14		10:39:18	02e68820-45c4-4dae-a3e1-45c2189479b9	 GET	http://localhost:5173	/notes 
2023-06-14		10:39:18	e1d7adfd-d0cd-4820-b2f6-936567c8db3c	 GET	http://localhost:5173	/users 
2023-06-14		10:52:04	24c506a7-10a5-47f8-a21b-b602bf09c66b	 GET	http://localhost:5173	/notes 
2023-06-14		10:52:08	746e3524-af3c-4d28-afbe-ed6c83ef8647	 GET	http://localhost:5173	/notes 
2023-06-14		10:52:16	63a3b8ad-c0d4-4ee3-ac97-40c31430f9af	 POST	http://localhost:5173	/auth 
2023-06-14		10:52:17	d0093e17-d3b6-4241-b57e-850e14dad259	 GET	http://localhost:5173	/notes 
2023-06-14		10:52:17	706eb0d5-efc9-4e03-ab33-4a3a8464c3aa	 GET	http://localhost:5173	/users 
2023-06-14		10:52:18	db8415d7-1dc6-40ae-85d3-576ae1f35ed9	 GET	http://localhost:5173	/notes 
2023-06-14		10:52:34	38d640e7-230d-428f-ac76-bf63aaeced80	 GET	http://localhost:5173	/notes 
2023-06-14		10:52:47	07ee40c7-3224-4704-bc46-5130f1020fd8	 POST	http://localhost:5173	/auth 
2023-06-14		10:52:54	729cd794-687a-44e1-9209-4e08e3b708d9	 POST	http://localhost:5173	/auth 
2023-06-14		10:52:54	374be4b1-0ebe-4d87-b1ce-847cf74d4f66	 GET	http://localhost:5173	/notes 
2023-06-14		10:53:09	7728a3a4-6342-4f97-9e27-aeab794988dd	 GET	http://localhost:5173	/notes 
2023-06-14		10:53:34	2e4986f4-142e-4eb7-8440-12191219452c	 POST	http://localhost:5173	/notes 
2023-06-14		10:53:35	d196f5c0-f74b-4f6a-b1cf-1f95cf7a3b61	 GET	http://localhost:5173	/notes 
2023-06-14		10:53:36	c5db004f-34a1-4429-a182-9ce899e3a56d	 GET	http://localhost:5173	/notes 
2023-06-14		10:53:45	b707bc90-df97-4842-897c-2513c26bd471	 GET	http://localhost:5173	/notes 
2023-06-14		10:53:45	7be2d9b6-ccc3-43eb-9a50-0e955d37cfbc	 GET	http://localhost:5173	/users 
2023-06-14		10:53:45	df09c061-aea1-4cb2-9579-0b2318f940d4	 GET	http://localhost:5173	/notes 
